"rt","response","question_order","trial_type","trial_index","time_elapsed","internal_node_id","subject","success","timeout","failed_images","failed_audio","failed_video","stimulus","left","right","concept"
"300","arrowright","","html-keyboard-response","37","49683","0.0-37.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/felt_rubber.png"" style=""height:350px"">","felt","rubber","bear"
"328","arrowleft","","html-keyboard-response","38","50217","0.0-38.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/felt_sand.png"" style=""height:350px"">","felt","sand","fish"
"305","arrowright","","html-keyboard-response","39","50728","0.0-39.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/rubber_paper.png"" style=""height:350px"">","rubber","paper","fish"
"371","arrowleft","","html-keyboard-response","40","51306","0.0-40.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/sand_rubber.png"" style=""height:350px"">","sand","rubber","fish"
"440","arrowright","","html-keyboard-response","41","51950","0.0-41.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/sand_rubber.png"" style=""height:350px"">","sand","rubber","bear"
"419","arrowleft","","html-keyboard-response","42","52576","0.0-42.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/rubber_paper.png"" style=""height:350px"">","rubber","paper","bear"
"583","arrowright","","html-keyboard-response","43","53365","0.0-43.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/paper_rubber.png"" style=""height:350px"">","paper","rubber","fish"
"1020","arrowleft","","html-keyboard-response","44","54594","0.0-44.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/sand_paper.png"" style=""height:350px"">","sand","paper","fish"
"446","arrowright","","html-keyboard-response","45","55243","0.0-45.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/felt_rubber.png"" style=""height:350px"">","felt","rubber","fish"
"679","arrowleft","","html-keyboard-response","46","56130","0.0-46.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/rubber_sand.png"" style=""height:350px"">","rubber","sand","bear"
"1253","arrowright","","html-keyboard-response","47","57591","0.0-47.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/sand_felt.png"" style=""height:350px"">","sand","felt","bear"
"360","arrowleft","","html-keyboard-response","48","58157","0.0-48.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/felt_paper.png"" style=""height:350px"">","felt","paper","fish"
"584","arrowleft","","html-keyboard-response","49","58948","0.0-49.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/paper_rubber.png"" style=""height:350px"">","paper","rubber","bear"
"545","arrowleft","","html-keyboard-response","50","59700","0.0-50.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/paper_felt.png"" style=""height:350px"">","paper","felt","fish"
"439","arrowleft","","html-keyboard-response","51","60346","0.0-51.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/paper_sand.png"" style=""height:350px"">","paper","sand","bear"
"294","arrowright","","html-keyboard-response","52","60842","0.0-52.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/felt_paper.png"" style=""height:350px"">","felt","paper","bear"
"923"," ","","html-keyboard-response","53","61966","0.0-53.0","glxpvcryzd","","","","","","<p style=""font-size:20px"">Ready for the next block? Press the spacebar to continue</p>","","",""
"560","arrowright","","html-keyboard-response","54","62527","0.0-54.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/sand_paper.png"" style=""height:350px"">","sand","paper","fish"
"1658","arrowright","","html-keyboard-response","55","64389","0.0-55.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/paper_rubber.png"" style=""height:350px"">","paper","rubber","bear"
"390","arrowleft","","html-keyboard-response","56","64985","0.0-56.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/rubber_paper.png"" style=""height:350px"">","rubber","paper","fish"
"485","arrowleft","","html-keyboard-response","57","65674","0.0-57.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/rubber_sand.png"" style=""height:350px"">","rubber","sand","bear"
"311","arrowright","","html-keyboard-response","58","66189","0.0-58.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/felt_paper.png"" style=""height:350px"">","felt","paper","fish"
"494","arrowright","","html-keyboard-response","59","66887","0.0-59.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/paper_sand.png"" style=""height:350px"">","paper","sand","fish"
"1280","arrowright","","html-keyboard-response","60","68371","0.0-60.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/felt_rubber.png"" style=""height:350px"">","felt","rubber","bear"
"713","arrowleft","","html-keyboard-response","61","69287","0.0-61.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/felt_rubber.png"" style=""height:350px"">","felt","rubber","fish"
"1735","arrowright","","html-keyboard-response","62","71229","0.0-62.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/felt_sand.png"" style=""height:350px"">","felt","sand","fish"
"340","arrowleft","","html-keyboard-response","63","71777","0.0-63.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/sand_rubber.png"" style=""height:350px"">","sand","rubber","fish"
"403","arrowright","","html-keyboard-response","64","72385","0.0-64.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/rubber_sand.png"" style=""height:350px"">","rubber","sand","fish"
"465","arrowleft","","html-keyboard-response","65","73054","0.0-65.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/paper_felt.png"" style=""height:350px"">","paper","felt","fish"
"464","arrowright","","html-keyboard-response","66","73725","0.0-66.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/sand_rubber.png"" style=""height:350px"">","sand","rubber","bear"
"607","arrowleft","","html-keyboard-response","67","74538","0.0-67.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/rubber_felt.png"" style=""height:350px"">","rubber","felt","fish"
"2437","arrowright","","html-keyboard-response","68","77177","0.0-68.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/rubber_felt.png"" style=""height:350px"">","rubber","felt","bear"
"446","arrowleft","","html-keyboard-response","69","77826","0.0-69.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/rubber_paper.png"" style=""height:350px"">","rubber","paper","bear"
"496","arrowleft","","html-keyboard-response","70","78528","0.0-70.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/sand_felt.png"" style=""height:350px"">","sand","felt","fish"
"414","arrowright","","html-keyboard-response","71","79149","0.0-71.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/sand_felt.png"" style=""height:350px"">","sand","felt","bear"
"435","arrowleft","","html-keyboard-response","72","79791","0.0-72.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/paper_sand.png"" style=""height:350px"">","paper","sand","bear"
"3183","arrowright","","html-keyboard-response","73","83179","0.0-73.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/paper_felt.png"" style=""height:350px"">","paper","felt","bear"
"1459","arrowleft","","html-keyboard-response","74","84845","0.0-74.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/felt_sand.png"" style=""height:350px"">","felt","sand","bear"
"3560","arrowright","","html-keyboard-response","75","88611","0.0-75.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/paper_rubber.png"" style=""height:350px"">","paper","rubber","fish"
"5012","arrowright","","html-keyboard-response","76","93830","0.0-76.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/felt_paper.png"" style=""height:350px"">","felt","paper","bear"
"422","arrowleft","","html-keyboard-response","77","94458","0.0-77.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/sand_paper.png"" style=""height:350px"">","sand","paper","bear"
"826"," ","","html-keyboard-response","78","95490","0.0-78.0","glxpvcryzd","","","","","","<p style=""font-size:20px"">Ready for the next block? Press the spacebar to continue</p>","","",""
"553","arrowleft","","html-keyboard-response","79","96044","0.0-79.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/paper_felt.png"" style=""height:350px"">","paper","felt","bear"
"530","arrowright","","html-keyboard-response","80","96779","0.0-80.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/sand_felt.png"" style=""height:350px"">","sand","felt","bear"
"462","arrowleft","","html-keyboard-response","81","97448","0.0-81.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/rubber_paper.png"" style=""height:350px"">","rubber","paper","fish"
"404","arrowright","","html-keyboard-response","82","98055","0.0-82.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/paper_felt.png"" style=""height:350px"">","paper","felt","fish"
"341","arrowleft","","html-keyboard-response","83","98603","0.0-83.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/felt_sand.png"" style=""height:350px"">","felt","sand","bear"
"364","arrowright","","html-keyboard-response","84","99172","0.0-84.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/sand_rubber.png"" style=""height:350px"">","sand","rubber","bear"
"370","arrowleft","","html-keyboard-response","85","99749","0.0-85.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/sand_paper.png"" style=""height:350px"">","sand","paper","bear"
"413","arrowright","","html-keyboard-response","86","100368","0.0-86.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/rubber_sand.png"" style=""height:350px"">","rubber","sand","fish"
"452","arrowleft","","html-keyboard-response","87","101025","0.0-87.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/sand_paper.png"" style=""height:350px"">","sand","paper","fish"
"1008","arrowright","","html-keyboard-response","88","102239","0.0-88.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/felt_paper.png"" style=""height:350px"">","felt","paper","fish"
"374","arrowleft","","html-keyboard-response","89","102820","0.0-89.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/paper_sand.png"" style=""height:350px"">","paper","sand","fish"
"545","arrowleft","","html-keyboard-response","90","103568","0.0-90.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/felt_rubber.png"" style=""height:350px"">","felt","rubber","bear"
"652","arrowleft","","html-keyboard-response","91","104426","0.0-91.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/rubber_sand.png"" style=""height:350px"">","rubber","sand","bear"
"316","arrowright","","html-keyboard-response","92","104950","0.0-92.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/rubber_paper.png"" style=""height:350px"">","rubber","paper","bear"
"783","arrowright","","html-keyboard-response","93","105938","0.0-93.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/paper_rubber.png"" style=""height:350px"">","paper","rubber","bear"
"363","arrowleft","","html-keyboard-response","94","106508","0.0-94.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/paper_rubber.png"" style=""height:350px"">","paper","rubber","fish"
"426","arrowright","","html-keyboard-response","95","107146","0.0-95.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/paper_sand.png"" style=""height:350px"">","paper","sand","bear"
"587","arrowright","","html-keyboard-response","96","107935","0.0-96.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/rubber_felt.png"" style=""height:350px"">","rubber","felt","bear"
"653","arrowleft","","html-keyboard-response","97","108792","0.0-97.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/sand_felt.png"" style=""height:350px"">","sand","felt","fish"
"1258","arrowright","","html-keyboard-response","98","110256","0.0-98.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/felt_rubber.png"" style=""height:350px"">","felt","rubber","fish"
"449","arrowleft","","html-keyboard-response","99","110912","0.0-99.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">bear</p><img src=""img/felt_paper.png"" style=""height:350px"">","felt","paper","bear"
"549","arrowleft","","html-keyboard-response","100","111668","0.0-100.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/felt_sand.png"" style=""height:350px"">","felt","sand","fish"
"853","arrowright","","html-keyboard-response","101","112728","0.0-101.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/rubber_felt.png"" style=""height:350px"">","rubber","felt","fish"
"663","arrowright","","html-keyboard-response","102","113599","0.0-102.0","glxpvcryzd","","","","","","<p style=""font-size:50px"">fish</p><img src=""img/sand_rubber.png"" style=""height:350px"">","sand","rubber","fish"
"","","","fullscreen","103","113809","0.0-103.0","glxpvcryzd","true","","","","","","","",""
"1778"," ","","html-keyboard-response","104","115592","0.0-104.0","glxpvcryzd","","","","","","
      <p>Great job! You've completed all the trials!</p>
    ","","",""
